,model,feature,sample,acc,prop
6,RFC,int_rate,20003,66.4,60.75000000000001
7,RFC,int_rate,20003,64.7,67.25
8,RFC,int_rate,20003,64.55,68.7
9,RFC,int_rate,20003,64.0,68.65
10,RFC,int_rate,20003,63.849999999999994,67.80000000000001
0,GBC,int_rate,20003,49.05,5.0
1,GBC,int_rate,20003,46.400000000000006,12.35
2,GBC,int_rate,20003,51.949999999999996,6.0
3,GBC,int_rate,20003,51.15,10.8
4,GBC,int_rate,20003,52.449999999999996,14.6
5,GBC,int_rate,20003,96.8,51.949999999999996
6,GBC,int_rate,20003,56.89999999999999,45.95
7,GBC,int_rate,20003,48.9,45.65
8,GBC,int_rate,20003,60.8,50.949999999999996
9,GBC,int_rate,20003,52.849999999999994,51.300000000000004
10,GBC,int_rate,20003,54.05,55.60000000000001
0,LR,int_rate,20003,48.949999999999996,0.0
1,LR,int_rate,20003,48.949999999999996,0.0
2,LR,int_rate,20003,48.949999999999996,0.0
3,LR,int_rate,20003,48.949999999999996,0.0
4,LR,int_rate,20003,49.2,0.44999999999999996
5,LR,int_rate,20003,96.35000000000001,52.300000000000004
6,LR,int_rate,20003,52.15,98.9
7,LR,int_rate,20003,51.05,100.0
8,LR,int_rate,20003,51.05,100.0
9,LR,int_rate,20003,51.05,100.0
10,LR,int_rate,20003,51.05,100.0
0,RFC,int_rate,20004,52.849999999999994,7.6499999999999995
1,RFC,int_rate,20004,53.55,8.95
2,RFC,int_rate,20004,54.50000000000001,7.7
3,RFC,int_rate,20004,56.25,12.65
4,RFC,int_rate,20004,58.3,15.8
5,RFC,int_rate,20004,84.45,45.75
6,RFC,int_rate,20004,65.2,61.3
7,RFC,int_rate,20004,64.4,66.3
8,RFC,int_rate,20004,63.6,68.5
9,RFC,int_rate,20004,63.55,68.15
10,RFC,int_rate,20004,63.2,67.7
0,GBC,int_rate,20004,49.95,4.35
1,GBC,int_rate,20004,47.8,8.799999999999999
2,GBC,int_rate,20004,51.5,5.5
3,GBC,int_rate,20004,48.4,9.4
4,GBC,int_rate,20004,49.7,12.3
5,GBC,int_rate,20004,96.45,52.15
6,GBC,int_rate,20004,50.8,52.5
7,GBC,int_rate,20004,47.199999999999996,50.3
8,GBC,int_rate,20004,53.65,60.75000000000001
9,GBC,int_rate,20004,48.6,61.4
10,GBC,int_rate,20004,51.949999999999996,68.25
0,LR,int_rate,20004,49.0,0.0
1,LR,int_rate,20004,49.0,0.0
2,LR,int_rate,20004,49.0,0.0
3,LR,int_rate,20004,49.0,0.0
4,LR,int_rate,20004,49.45,0.44999999999999996
5,LR,int_rate,20004,96.39999999999999,52.300000000000004
6,LR,int_rate,20004,51.65,99.35000000000001
7,LR,int_rate,20004,51.05,99.95
8,LR,int_rate,20004,51.05,99.95
9,LR,int_rate,20004,51.05,99.95
10,LR,int_rate,20004,51.05,99.95
0,RFC,installment,20000,84.6,48.65
1,RFC,installment,20000,84.3,46.85
2,RFC,installment,20000,83.45,46.0
3,RFC,installment,20000,83.8,45.45
4,RFC,installment,20000,83.75,45.0
5,RFC,installment,20000,84.5,44.85
6,RFC,installment,20000,83.95,44.6
7,RFC,installment,20000,83.85000000000001,44.2
8,RFC,installment,20000,83.6,43.65
9,RFC,installment,20000,83.35000000000001,43.1
10,RFC,installment,20000,82.85,42.6
0,GBC,installment,20000,96.39999999999999,50.64999999999999
1,GBC,installment,20000,96.6,50.349999999999994
2,GBC,installment,20000,96.5,50.24999999999999
3,GBC,installment,20000,96.6,50.349999999999994
4,GBC,installment,20000,96.6,50.24999999999999
5,GBC,installment,20000,96.65,50.2
6,GBC,installment,20000,96.55,50.2
7,GBC,installment,20000,96.6,49.95
8,GBC,installment,20000,96.6,49.85
9,GBC,installment,20000,96.6,49.75
10,GBC,installment,20000,96.5,49.65
0,LR,installment,20000,96.15,51.5
1,LR,installment,20000,96.0,51.24999999999999
