,model,size,features,abs_shap
66,RFC,10000,mths_since_last_delinq,14.440367628122313
67,RFC,10000,open_acc,24.4054712589155
68,RFC,10000,total_acc,86.60524350302228
69,RFC,10000,mths_since_last_major_derog,7.998045512126594
70,RFC,10000,dti,51.977819832616056
71,RFC,10000,revol_bal,36.005643648350606
72,RFC,10000,tot_cur_bal,43.4455321186947
73,RFC,10000,open_il_24m,25.136091663777997
74,RFC,10000,chargeoff_within_12_mths,0.0795945156645182
75,RFC,10000,delinq_amnt,0.0
0,GBC,10000,Term: 36 months,0.24732673314328013
1,GBC,10000,Term: 60 months,1.3748664398543633
2,GBC,10000,Loan_Grade:A,0.03002839006459806
3,GBC,10000,Loan_Grade:B,7.7721962460319505
4,GBC,10000,Loan_Grade:C,3.4443129677852675
5,GBC,10000,Loan_Grade:D,17.484143140530513
6,GBC,10000,Loan_Grade:E,4.898833234875668
7,GBC,10000,Loan_Grade:F,5.155463306695849
8,GBC,10000,Loan_Grade:G,0.006325033389469992
9,GBC,10000,Loan_SubGrade:A1,8.643378210166105
10,GBC,10000,Loan_SubGrade:A2,3.2935152018850538
11,GBC,10000,Loan_SubGrade:A3,3.817203566936058
12,GBC,10000,Loan_SubGrade:A4,8.450348594551484
13,GBC,10000,Loan_SubGrade:A5,8.434733938809392
14,GBC,10000,Loan_SubGrade:B1,7.5280514634395725
15,GBC,10000,Loan_SubGrade:B2,16.559435743266338
16,GBC,10000,Loan_SubGrade:B3,8.979431191832976
17,GBC,10000,Loan_SubGrade:B4,6.031544412652088
18,GBC,10000,Loan_SubGrade:B5,19.330350970539435
19,GBC,10000,Loan_SubGrade:C1,3.8683263550590024
20,GBC,10000,Loan_SubGrade:C2,13.731176664877538
21,GBC,10000,Loan_SubGrade:C3,14.859346672224603
22,GBC,10000,Loan_SubGrade:C4,3.653096948359145
23,GBC,10000,Loan_SubGrade:C5,33.21311182526858
24,GBC,10000,Loan_SubGrade:D1,6.34007147829635
25,GBC,10000,Loan_SubGrade:D2,12.510040249714157
26,GBC,10000,Loan_SubGrade:D3,17.20797549543782
27,GBC,10000,Loan_SubGrade:D4,13.382863043891781
28,GBC,10000,Loan_SubGrade:D5,16.718718575374407
29,GBC,10000,Loan_SubGrade:E1,3.7423650358710194
30,GBC,10000,Loan_SubGrade:E2,0.6537792876985011
31,GBC,10000,Loan_SubGrade:E3,7.7536704312141564
32,GBC,10000,Loan_SubGrade:E4,5.775431936253611
33,GBC,10000,Loan_SubGrade:E5,17.837766093173965
34,GBC,10000,Loan_SubGrade:F1,1.174641385692675
35,GBC,10000,Loan_SubGrade:F2,0.7646929922161957
36,GBC,10000,Loan_SubGrade:F3,0.19047114844484692
37,GBC,10000,Loan_SubGrade:F4,0.5605532197887397
38,GBC,10000,Loan_SubGrade:F5,0.4039969809052779
39,GBC,10000,Loan_SubGrade:G1,4.089220294462221
40,GBC,10000,Loan_SubGrade:G2,0.24687778758292628
41,GBC,10000,Loan_SubGrade:G3,0.041653555729833786
42,GBC,10000,Loan_SubGrade:G4,0.049358461435570655
43,GBC,10000,Loan_SubGrade:G5,0.0
44,GBC,10000,Employment_Length:1 year,3.6848864662072534
45,GBC,10000,Employment_Length:10+ years,0.23958989931743946
46,GBC,10000,Employment_Length:2 years,0.5799254173950981
47,GBC,10000,Employment_Length:3 years,0.8949121215891652
48,GBC,10000,Employment_Length:4 years,0.20280863885135175
49,GBC,10000,Employment_Length:5 years,0.6411558625987239
50,GBC,10000,Employment_Length:6 years,2.496725988291465
51,GBC,10000,Employment_Length:7 years,0.212562834010116
52,GBC,10000,Employment_Length:8 years,0.05299643027690646
53,GBC,10000,Employment_Length:9 years,1.0177435629011993
54,GBC,10000,Employment_Length:< 1 year,8.483425712198853
55,GBC,10000,Employment_Length:unknown,16.58171262340456
56,GBC,10000,Home_Ownership:ANY,0.09096650097311945
57,GBC,10000,Home_Ownership:MORTGAGE,33.75203904783918
