,feature,Feature_Importance,sample_size,model
45,Employment_Length:10+ years,0.0,10000,logit
46,Employment_Length:2 years,-0.0099,10000,logit
47,Employment_Length:3 years,-0.0787,10000,logit
48,Employment_Length:4 years,-0.0156,10000,logit
49,Employment_Length:5 years,-0.0995,10000,logit
50,Employment_Length:6 years,0.1726,10000,logit
51,Employment_Length:7 years,-0.1089,10000,logit
52,Employment_Length:8 years,0.0369,10000,logit
53,Employment_Length:9 years,0.0199,10000,logit
54,Employment_Length:< 1 year,0.2169,10000,logit
55,Employment_Length:unknown,-0.5146,10000,logit
56,Home_Ownership:ANY,0.0,10000,logit
57,Home_Ownership:MORTGAGE,-6.9159,10000,logit
58,Home_Ownership:OWN,-7.2469,10000,logit
59,Home_Ownership:RENT,-7.2827,10000,logit
60,loan_amnt,0.0,10000,logit
61,int_rate,5.9341,10000,logit
62,installment,-0.001,10000,logit
63,annual_inc,0.0,10000,logit
64,inq_last_6mths,-0.0775,10000,logit
65,delinq_2yrs,0.0,10000,logit
66,mths_since_last_delinq,0.0016,10000,logit
67,open_acc,-0.0134,10000,logit
68,total_acc,0.0158,10000,logit
69,mths_since_last_major_derog,-0.0024,10000,logit
70,dti,-0.0013,10000,logit
71,revol_bal,-0.0,10000,logit
72,tot_cur_bal,0.0,10000,logit
73,open_il_24m,0.0405,10000,logit
74,chargeoff_within_12_mths,0.0,10000,logit
75,delinq_amnt,-0.0015,10000,logit
0,Term: 36 months,0.0067,20000,rfc
1,Term: 60 months,0.0061,20000,rfc
2,Loan_Grade:A,0.0203,20000,rfc
3,Loan_Grade:B,0.009,20000,rfc
4,Loan_Grade:C,0.0068,20000,rfc
5,Loan_Grade:D,0.0078,20000,rfc
6,Loan_Grade:E,0.0041,20000,rfc
7,Loan_Grade:F,0.0026,20000,rfc
8,Loan_Grade:G,0.0006,20000,rfc
9,Loan_SubGrade:A1,0.0054,20000,rfc
10,Loan_SubGrade:A2,0.002,20000,rfc
11,Loan_SubGrade:A3,0.0026,20000,rfc
12,Loan_SubGrade:A4,0.0024,20000,rfc
13,Loan_SubGrade:A5,0.0033,20000,rfc
14,Loan_SubGrade:B1,0.0048,20000,rfc
15,Loan_SubGrade:B2,0.0058,20000,rfc
16,Loan_SubGrade:B3,0.0037,20000,rfc
17,Loan_SubGrade:B4,0.0049,20000,rfc
18,Loan_SubGrade:B5,0.006,20000,rfc
19,Loan_SubGrade:C1,0.0055,20000,rfc
20,Loan_SubGrade:C2,0.0046,20000,rfc
21,Loan_SubGrade:C3,0.0047,20000,rfc
22,Loan_SubGrade:C4,0.006,20000,rfc
23,Loan_SubGrade:C5,0.0045,20000,rfc
24,Loan_SubGrade:D1,0.0041,20000,rfc
25,Loan_SubGrade:D2,0.0033,20000,rfc
26,Loan_SubGrade:D3,0.0031,20000,rfc
27,Loan_SubGrade:D4,0.0028,20000,rfc
28,Loan_SubGrade:D5,0.0037,20000,rfc
29,Loan_SubGrade:E1,0.0016,20000,rfc
30,Loan_SubGrade:E2,0.0011,20000,rfc
31,Loan_SubGrade:E3,0.0017,20000,rfc
32,Loan_SubGrade:E4,0.0016,20000,rfc
33,Loan_SubGrade:E5,0.0015,20000,rfc
34,Loan_SubGrade:F1,0.0007,20000,rfc
35,Loan_SubGrade:F2,0.0003,20000,rfc
36,Loan_SubGrade:F3,0.0004,20000,rfc
37,Loan_SubGrade:F4,0.0004,20000,rfc
38,Loan_SubGrade:F5,0.0002,20000,rfc
39,Loan_SubGrade:G1,0.0004,20000,rfc
40,Loan_SubGrade:G2,0.0,20000,rfc
41,Loan_SubGrade:G3,0.0001,20000,rfc
42,Loan_SubGrade:G4,0.0,20000,rfc
43,Loan_SubGrade:G5,0.0,20000,rfc
44,Employment_Length:1 year,0.0047,20000,rfc
45,Employment_Length:10+ years,0.0093,20000,rfc
46,Employment_Length:2 years,0.0061,20000,rfc
47,Employment_Length:3 years,0.0056,20000,rfc
48,Employment_Length:4 years,0.0046,20000,rfc
49,Employment_Length:5 years,0.0045,20000,rfc
50,Employment_Length:6 years,0.0042,20000,rfc
51,Employment_Length:7 years,0.0033,20000,rfc
52,Employment_Length:8 years,0.0035,20000,rfc
53,Employment_Length:9 years,0.0025,20000,rfc
54,Employment_Length:< 1 year,0.0059,20000,rfc
55,Employment_Length:unknown,0.0069,20000,rfc
56,Home_Ownership:ANY,0.0001,20000,rfc
57,Home_Ownership:MORTGAGE,0.0116,20000,rfc
58,Home_Ownership:OWN,0.0058,20000,rfc
59,Home_Ownership:RENT,0.0101,20000,rfc
60,loan_amnt,0.052,20000,rfc
61,int_rate,0.1872,20000,rfc
62,installment,0.0648,20000,rfc
63,annual_inc,0.0576,20000,rfc
64,inq_last_6mths,0.0186,20000,rfc
65,delinq_2yrs,0.0105,20000,rfc
66,mths_since_last_delinq,0.0311,20000,rfc
67,open_acc,0.0428,20000,rfc
68,total_acc,0.0506,20000,rfc
69,mths_since_last_major_derog,0.0204,20000,rfc
70,dti,0.0632,20000,rfc
71,revol_bal,0.0575,20000,rfc
72,tot_cur_bal,0.0665,20000,rfc
73,open_il_24m,0.0296,20000,rfc
74,chargeoff_within_12_mths,0.0011,20000,rfc
75,delinq_amnt,0.0003,20000,rfc
0,Term: 36 months,0.0,20000,gbc
1,Term: 60 months,0.0001,20000,gbc
2,Loan_Grade:A,0.035,20000,gbc
3,Loan_Grade:B,0.0257,20000,gbc
4,Loan_Grade:C,0.0229,20000,gbc
5,Loan_Grade:D,0.0042,20000,gbc
6,Loan_Grade:E,0.0064,20000,gbc
7,Loan_Grade:F,0.0015,20000,gbc
8,Loan_Grade:G,0.0004,20000,gbc
9,Loan_SubGrade:A1,0.0003,20000,gbc
10,Loan_SubGrade:A2,0.0,20000,gbc
11,Loan_SubGrade:A3,0.0002,20000,gbc
12,Loan_SubGrade:A4,0.0049,20000,gbc
13,Loan_SubGrade:A5,0.0006,20000,gbc
14,Loan_SubGrade:B1,0.0047,20000,gbc
15,Loan_SubGrade:B2,0.0117,20000,gbc
16,Loan_SubGrade:B3,0.0096,20000,gbc
17,Loan_SubGrade:B4,0.0172,20000,gbc
18,Loan_SubGrade:B5,0.0263,20000,gbc
19,Loan_SubGrade:C1,0.0033,20000,gbc
20,Loan_SubGrade:C2,0.0136,20000,gbc
21,Loan_SubGrade:C3,0.0085,20000,gbc
22,Loan_SubGrade:C4,0.0079,20000,gbc
23,Loan_SubGrade:C5,0.0014,20000,gbc
24,Loan_SubGrade:D1,0.0099,20000,gbc
25,Loan_SubGrade:D2,0.0061,20000,gbc
26,Loan_SubGrade:D3,0.0052,20000,gbc
27,Loan_SubGrade:D4,0.0068,20000,gbc
28,Loan_SubGrade:D5,0.0122,20000,gbc
29,Loan_SubGrade:E1,0.0011,20000,gbc
